OBJECTID,postcode,Shape_Area
1,PO1 1ED,6996.48089274000
2,PO1 1HT,10909.60474330000
3,PO1 3GX,60492.23205000000
4,PO1 3LH,7202.05156234000
5,PO1 3ND,13574.66015110000
6,PO1 3NS,172263.43058000000
7,PO1 3NT,42299.08477030000
8,PO1 4AQ,2530.56513269000
9,PO1 4AX,2834.46903540000
10,PO1 4AY,8915.67650660000
11,PO1 4AZ,1557.69641067000
12,PO1 4BD,3879.43869200000
13,PO1 4BP,8016.79143515000
14,PO1 4BS,11937.50426210000
15,PO1 4BT,17827.65172150000
16,PO1 4BU,2271.04352289000
17,PO1 4BX,3077.71959729000
18,PO1 4DA,8642.33637287000
19,PO1 4DB,2912.48719638000
20,PO1 4DD,5962.79536968000
21,PO1 4DE,2484.50065418000
22,PO1 4DF,7429.06169302000
23,PO1 4DG,1129.51005634000
24,PO1 4DT,257.17004158000
25,PO1 4DY,5565.67112251000
26,PO1 4DZ,1672.60110425000
27,PO1 4EB,1485.58176389000
28,PO1 4ED,1199.43712585000
29,PO1 4EG,3558.98797727000
30,PO1 4EH,2058.69965415000
31,PO1 4EJ,4302.95570722000
32,PO1 4HA,5358.74319318000
33,PO1 4HF,2725.81848760000
34,PO1 4HG,421.77446144400
35,PO1 4HL,1856.29622604000
36,PO1 4HP,8605.23357570000
37,PO1 4HR,7452.29143464000
38,PO1 4HX,1172.91209359000
39,PO1 4JA,5208.50427085000
40,PO1 4JL,12570.71654630000
41,PO1 4LB,1300.92068570000
42,PO1 4LD,1211.62542595000
43,PO1 4LG,1645.14987255000
44,PO1 4LH,2317.03106573000
45,PO1 4LL,3980.44061004000
46,PO1 4LN,3564.40730694000
47,PO1 4LP,4980.91974284000
48,PO1 4LQ,856.32008707000
49,PO1 4LR,5393.33343156000
50,PO1 4LS,8515.90755731000
51,PO1 4LT,4417.52820312000
52,PO1 4LU,4650.36436024000
53,PO1 4LW,3084.52836355000
54,PO1 4LX,3046.81227451000
55,PO1 4LY,2509.01667147000
56,PO1 4LZ,709.93359422100
57,PO1 4NB,9029.12514034000
58,PO1 4ND,3251.06603442000
59,PO1 4NE,1160.85591940000
60,PO1 4NF,2937.43859267000
61,PO1 4NG,1439.71558015000
62,PO1 4NH,1464.05424043000
63,PO1 4NJ,1711.79324222000
64,PO1 4NL,4882.91736866000
65,PO1 4NN,1365.56996747000
