Date,HDD
01/05/2017,4.7
02/05/2017,3.6
03/05/2017,6.1
04/05/2017,2.8
05/05/2017,2.9
06/05/2017,2.5
07/05/2017,3
08/05/2017,5.4
09/05/2017,5.3
10/05/2017,4.8
11/05/2017,2.3
12/05/2017,1.3
13/05/2017,1.6
14/05/2017,2
15/05/2017,2.2
16/05/2017,0.4
17/05/2017,1.2
18/05/2017,3
19/05/2017,3.2
20/05/2017,4
21/05/2017,2.3
22/05/2017,0.6
23/05/2017,1
24/05/2017,0.8
25/05/2017,1.1
26/05/2017,0.1
27/05/2017,0.8
28/05/2017,0.8
29/05/2017,0.4
30/05/2017,0.5
31/05/2017,0.7
01/06/2017,1.3
02/06/2017,0.7
03/06/2017,0.8
04/06/2017,2.2
05/06/2017,1.3
06/06/2017,2.1
07/06/2017,1.3
08/06/2017,0.5
09/06/2017,0.8
10/06/2017,0.4
11/06/2017,0.4
12/06/2017,0.7
13/06/2017,1.7
14/06/2017,1.1
15/06/2017,0.4
16/06/2017,0.8
17/06/2017,0.6
18/06/2017,0.2
19/06/2017,0
20/06/2017,0
21/06/2017,0
22/06/2017,0
23/06/2017,0.4
24/06/2017,0
25/06/2017,0.1
26/06/2017,0.8
27/06/2017,0.2
28/06/2017,0.7
29/06/2017,1.6
30/06/2017,0.5
01/07/2017,0.2
02/07/2017,0
03/07/2017,0.1
04/07/2017,0.7
05/07/2017,0.6
06/07/2017,0
07/07/2017,0
08/07/2017,0
09/07/2017,0
10/07/2017,0.2
11/07/2017,0.3
12/07/2017,0.2
13/07/2017,0.3
14/07/2017,0.2
15/07/2017,0.4
16/07/2017,0
17/07/2017,0
18/07/2017,0
19/07/2017,0
20/07/2017,0.1
21/07/2017,0.2
22/07/2017,1.2
23/07/2017,1.8
24/07/2017,0.3
25/07/2017,0.7
26/07/2017,0
27/07/2017,0
28/07/2017,0
29/07/2017,0.1
30/07/2017,0.3
31/07/2017,0.2
01/08/2017,0.7
02/08/2017,0.1
03/08/2017,0
04/08/2017,0
05/08/2017,0.8
06/08/2017,1.1
07/08/2017,0.2
